hand_number,winner,amount_won,description,player1_cards,player2_cards,board,player1_stack_before,player2_stack_before,player1_stack_after,player2_stack_after
1,Fish,20.0,Boat,3♣ 9♠,3♠ 10♣,4♥ 3♥ 10♠ 10♦ K♦,1000.0,1000.0,990.0,1010.0
2,Main Agent,120.0,One Pair,K♥ 7♠,J♦ 7♥,2♣ Q♥ Q♦ 6♠ 3♥,990.0,1010.0,1050.0,950.0
3,Main Agent,20.0,One Pair,Q♦ 8♣,9♥ 2♥,7♦ A♥ 10♣ J♠ 10♠,1050.0,950.0,1060.0,940.0
4,Fish,15.0,opponent folded,Q♠ 5♦,2♠ 9♣,,1060.0,940.0,1055.0,945.0
5,Fish,20.0,One Pair,4♦ 9♦,A♣ 9♠,3♥ 6♠ 10♥ K♦ 9♣,1055.0,945.0,1045.0,955.0
6,Main Agent,298.79999999999995,Trips,9♣ 10♥,8♠ 4♥,10♣ 10♦ 4♦ 3♦ 6♥,1045.0,955.0,1194.4,805.6
7,Fish,60.0,Two Pair,5♠ A♣,K♦ 6♦,9♦ Q♠ K♣ 7♠ 6♠,1194.4,805.6,1164.4,835.6
8,Fish,15.0,opponent folded,6♠ 4♥,Q♥ 7♥,,1164.4,835.6,1159.4,840.6
9,Main Agent,20.0,Two Pair,7♣ J♠,10♦ 4♠,K♦ J♦ K♣ 10♠ 8♥,1159.4,840.6,1169.4,830.6
10,Main Agent,99.6,One Pair,A♥ 10♥,6♥ 6♠,J♥ 4♣ 8♦ 10♦ 3♠,1169.4,830.6,1219.2,780.8000000000001
11,Main Agent,20.0,Boat,A♠ 2♦,5♣ K♥,K♠ 2♣ Q♦ A♥ 2♠,1219.2,780.8000000000001,1229.2,770.8000000000001
12,Fish,15.0,opponent folded,8♣ 7♣,K♥ 7♦,,1229.2,770.8000000000001,1224.2,775.8000000000001
13,Main Agent,60.0,Flush,10♥ 9♥,10♦ 7♠,J♠ 3♥ K♥ 2♥ 2♦,1224.2,775.8000000000001,1254.2,745.8000000000001
14,Fish,99.6,Trips,A♥ K♦,Q♦ 5♣,7♠ 4♣ 3♦ 5♦ 5♠,1254.2,745.8000000000001,1204.4,795.6000000000001
15,Main Agent,60.0,One Pair,Q♠ A♦,K♣ 10♣,9♠ A♣ 8♥ K♦ 7♣,1204.4,795.6000000000001,1234.4,765.6000000000001
16,Fish,15.0,opponent folded,9♥ 4♥,7♠ 6♥,,1234.4,765.6000000000001,1229.4,770.6000000000001
17,Main Agent,20.0,Two Pair,6♦ J♦,9♦ J♥,K♣ 10♥ J♣ 6♥ 5♥,1229.4,770.6000000000001,1239.4,760.6000000000001
18,Main Agent,360.0,Two Pair,6♦ A♣,4♦ 10♥,5♠ 5♥ K♣ 6♠ 7♦,1239.4,760.6000000000001,1419.4,580.6000000000001
19,Fish,60.0,One Pair,7♣ A♦,6♦ 7♥,3♥ J♣ 8♣ 6♠ 5♥,1419.4,580.6000000000001,1389.4,610.6000000000001
20,Fish,15.0,opponent folded,Q♦ 4♠,J♣ Q♣,,1389.4,610.6000000000001,1384.4,615.6000000000001
21,Fish,20.0,One Pair,3♣ 4♦,J♣ 5♠,6♥ J♦ 10♠ K♣ 9♠,1384.4,615.6000000000001,1374.4,625.6000000000001
22,Fish,15.0,opponent folded,2♠ 7♥,9♣ 8♥,,1374.4,625.6000000000001,1369.4,630.6000000000001
23,Fish,20.0,Two Pair,10♥ 2♣,7♣ A♥,7♠ A♣ 6♣ K♥ 3♣,1369.4,630.6000000000001,1359.4,640.6000000000001
24,Main Agent,99.6,Two Pair,7♦ K♦,J♠ 3♥,3♣ 5♥ 10♣ 5♣ 7♣,1359.4,640.6000000000001,1409.2,590.8000000000002
25,Main Agent,20.0,One Pair,6♣ J♣,9♣ 5♣,10♠ 3♣ 8♠ 4♣ 8♥,1409.2,590.8000000000002,1419.2,580.8000000000002
26,Fish,15.0,opponent folded,5♦ Q♥,6♣ 10♣,,1419.2,580.8000000000002,1414.2,585.8000000000002
27,Main Agent,60.0,Two Pair,4♥ Q♥,8♠ 6♣,10♦ 4♣ J♥ A♥ A♠,1414.2,585.8000000000002,1444.2,555.8000000000002
28,Fish,298.79999999999995,Two Pair,5♥ 5♠,10♠ 10♣,9♦ 9♠ 6♠ 4♦ 8♦,1444.2,555.8000000000002,1294.8000000000002,705.2000000000002
29,Main Agent,60.0,Two Pair,4♣ Q♣,J♦ 9♣,3♦ 4♦ 3♥ 10♥ A♥,1294.8000000000002,705.2000000000002,1324.8000000000002,675.2000000000002
30,Fish,15.0,opponent folded,3♥ 8♠,J♥ J♦,,1324.8000000000002,675.2000000000002,1319.8000000000002,680.2000000000002
31,Main Agent,20.0,One Pair,6♥ 4♦,5♣ 3♦,A♦ K♣ 2♦ 2♥ 9♠,1319.8000000000002,680.2000000000002,1329.8000000000002,670.2000000000002
32,Fish,15.0,opponent folded,6♠ 9♥,Q♦ 3♦,,1329.8000000000002,670.2000000000002,1324.8000000000002,675.2000000000002
33,Fish,60.0,Straight,J♣ A♣,4♣ 6♠,3♣ 7♦ 5♦ K♦ 6♣,1324.8000000000002,675.2000000000002,1294.8000000000002,705.2000000000002
34,Fish,15.0,opponent folded,8♦ J♠,5♠ 4♦,,1294.8000000000002,705.2000000000002,1289.8000000000002,710.2000000000002
35,Main Agent,20.0,Straight,8♥ J♦,K♥ 4♣,10♠ 5♣ 7♣ 9♦ 3♦,1289.8000000000002,710.2000000000002,1299.8000000000002,700.2000000000002
36,Fish,120.0,Two Pair,J♣ 10♣,4♦ 3♥,4♥ 8♥ 6♦ Q♥ Q♣,1299.8000000000002,700.2000000000002,1239.8000000000002,760.2000000000002
37,Main Agent,20.0,Two Pair,7♠ Q♥,3♥ 3♠,8♠ 8♣ 4♣ J♠ 4♠,1239.8000000000002,760.2000000000002,1249.8000000000002,750.2000000000002
38,Fish,15.0,opponent folded,7♥ 3♦,2♠ 2♣,,1249.8000000000002,750.2000000000002,1244.8000000000002,755.2000000000002
39,Fish,60.0,Two Pair,A♠ 4♠,A♣ K♣,8♥ 8♦ A♥ 6♦ J♣,1244.8000000000002,755.2000000000002,1214.8000000000002,785.2000000000002
40,Fish,15.0,opponent folded,Q♠ 7♣,4♦ J♥,,1214.8000000000002,785.2000000000002,1209.8000000000002,790.2000000000002
41,Main Agent,20.0,One Pair,7♦ 9♦,K♥ J♦,5♥ 9♣ 4♦ 2♣ A♣,1209.8000000000002,790.2000000000002,1219.8000000000002,780.2000000000002
42,Fish,99.6,Two Pair,A♥ 8♣,9♣ 6♦,2♦ Q♣ Q♦ 10♠ 6♣,1219.8000000000002,780.2000000000002,1170.0000000000002,830.0000000000002
43,Fish,20.0,Straight,Q♦ 4♠,3♠ 7♠,4♣ A♣ 5♥ 2♥ 2♦,1170.0000000000002,830.0000000000002,1160.0000000000002,840.0000000000002
44,Fish,120.0,Two Pair,J♠ 8♠,5♠ 7♥,2♣ 2♦ 4♥ 9♥ 5♣,1160.0000000000002,840.0000000000002,1100.0000000000002,900.0000000000002
45,Fish,20.0,One Pair,8♦ 4♦,J♣ J♦,2♣ 6♣ 9♣ 10♠ A♥,1100.0000000000002,900.0000000000002,1090.0000000000002,910.0000000000002
46,Fish,15.0,opponent folded,10♥ 6♣,9♠ 2♦,,1090.0000000000002,910.0000000000002,1085.0000000000002,915.0000000000002
47,Fish,60.0,Flush,5♦ 10♦,10♥ K♣,6♣ 9♣ 4♣ 2♣ A♠,1085.0000000000002,915.0000000000002,1055.0000000000002,945.0000000000002
48,Main Agent,99.6,One Pair,10♠ 8♠,2♣ 10♣,4♥ 9♣ 5♠ 9♦ 3♣,1055.0000000000002,945.0000000000002,1104.8000000000002,895.2000000000003
49,Main Agent,60.0,Two Pair,10♥ 7♥,5♦ 4♣,9♦ 7♦ 10♠ Q♣ A♠,1104.8000000000002,895.2000000000003,1134.8000000000002,865.2000000000003
50,Fish,15.0,opponent folded,5♥ 4♣,Q♥ 7♣,,1134.8000000000002,865.2000000000003,1129.8000000000002,870.2000000000003
51,Fish,60.0,Boat,8♣ K♦,7♦ 7♠,4♦ 5♠ 5♦ 10♣ 7♣,1129.8000000000002,870.2000000000003,1099.8000000000002,900.2000000000003
52,Fish,15.0,opponent folded,4♣ J♥,9♠ K♠,,1099.8000000000002,900.2000000000003,1094.8000000000002,905.2000000000003
53,Main Agent,20.0,Straight,8♦ 7♥,3♥ 9♣,9♥ 10♣ A♦ J♣ 8♥,1094.8000000000002,905.2000000000003,1104.8000000000002,895.2000000000003
54,Fish,15.0,opponent folded,5♥ 2♥,10♥ 4♣,,1104.8000000000002,895.2000000000003,1099.8000000000002,900.2000000000003
55,Fish,20.0,Two Pair,J♣ 9♥,2♥ Q♥,2♦ 4♠ Q♦ J♠ 5♥,1099.8000000000002,900.2000000000003,1089.8000000000002,910.2000000000003
56,Fish,15.0,opponent folded,3♣ 3♥,6♠ 8♣,,1089.8000000000002,910.2000000000003,1084.8000000000002,915.2000000000003
57,Main Agent,20.0,One Pair,8♥ 6♣,7♠ 4♣,4♠ Q♣ A♥ K♣ 6♦,1084.8000000000002,915.2000000000003,1094.8000000000002,905.2000000000003
58,Fish,120.0,One Pair,K♥ J♣,10♣ 10♠,9♣ 7♠ 8♦ 5♠ 3♦,1094.8000000000002,905.2000000000003,1034.8000000000002,965.2000000000003
59,Main Agent,20.0,One Pair,6♥ 8♠,10♠ 7♠,3♦ 4♦ J♦ 8♦ K♣,1034.8000000000002,965.2000000000003,1044.8000000000002,955.2000000000003
60,Fish,15.0,opponent folded,A♦ 2♣,A♠ 5♦,,1044.8000000000002,955.2000000000003,1039.8000000000002,960.2000000000003
61,Main Agent,60.0,One Pair,K♣ A♣,2♦ 6♣,10♠ 3♣ 8♥ 5♥ 3♦,1039.8000000000002,960.2000000000003,1069.8000000000002,930.2000000000003
62,Fish,15.0,opponent folded,J♥ 3♠,6♦ 8♠,,1069.8000000000002,930.2000000000003,1064.8000000000002,935.2000000000003
63,Main Agent,60.0,One Pair,4♦ K♦,3♦ K♥,8♣ 2♥ 9♣ 6♠ 8♠,1064.8000000000002,935.2000000000003,1094.8000000000002,905.2000000000003
64,Fish,15.0,opponent folded,3♦ K♠,7♦ 3♣,,1094.8000000000002,905.2000000000003,1089.8000000000002,910.2000000000003
65,Main Agent,20.0,One Pair,Q♦ 9♠,6♥ 10♦,J♣ 4♠ 4♦ 2♥ 8♠,1089.8000000000002,910.2000000000003,1099.8000000000002,900.2000000000003
66,Fish,15.0,opponent folded,8♦ 6♣,8♠ 10♠,,1099.8000000000002,900.2000000000003,1094.8000000000002,905.2000000000003
67,Fish,60.0,High Card,10♥ J♦,Q♦ 10♠,7♦ A♣ 6♣ 4♠ 3♣,1094.8000000000002,905.2000000000003,1064.8000000000002,935.2000000000003
68,Fish,15.0,opponent folded,9♦ 6♣,4♦ 2♠,,1064.8000000000002,935.2000000000003,1059.8000000000002,940.2000000000003
69,Main Agent,60.0,One Pair,9♥ K♣,10♠ 4♥,4♣ 7♠ J♣ A♦ 9♣,1059.8000000000002,940.2000000000003,1089.8000000000002,910.2000000000003
70,Fish,15.0,opponent folded,2♠ 5♥,2♥ 4♠,,1089.8000000000002,910.2000000000003,1084.8000000000002,915.2000000000003
71,Fish,20.0,Two Pair,7♣ 2♠,Q♠ 7♦,9♦ 9♣ 5♥ Q♥ 6♥,1084.8000000000002,915.2000000000003,1074.8000000000002,925.2000000000003
72,Fish,15.0,opponent folded,4♥ 2♦,9♣ 9♥,,1074.8000000000002,925.2000000000003,1069.8000000000002,930.2000000000003
73,Main Agent,20.0,One Pair,9♦ 4♥,2♦ 7♦,J♠ 8♣ 6♥ 4♠ A♣,1069.8000000000002,930.2000000000003,1079.8000000000002,920.2000000000003
74,Fish,15.0,opponent folded,Q♣ 2♥,4♦ 8♥,,1079.8000000000002,920.2000000000003,1074.8000000000002,925.2000000000003
75,Main Agent,60.0,Flush,6♠ A♠,4♣ 4♦,7♠ 10♥ 9♠ 5♦ Q♠,1074.8000000000002,925.2000000000003,1104.8000000000002,895.2000000000003
76,Fish,120.0,Two Pair,6♦ 10♦,7♦ J♥,8♦ 9♥ K♥ K♠ 8♣,1104.8000000000002,895.2000000000003,1044.8000000000002,955.2000000000003
77,Fish,20.0,Two Pair,4♠ 7♠,5♠ 3♥,J♣ 3♠ 9♦ 2♠ 2♣,1044.8000000000002,955.2000000000003,1034.8000000000002,965.2000000000003
78,Fish,15.0,opponent folded,9♣ 7♣,7♥ 10♠,,1034.8000000000002,965.2000000000003,1029.8000000000002,970.2000000000003
79,Fish,60.0,Two Pair,J♥ 10♦,K♥ 8♠,Q♦ 4♣ 6♣ Q♠ 6♠,1029.8000000000002,970.2000000000003,999.8000000000002,1000.2000000000003
80,Main Agent,360.0,One Pair,A♥ Q♦,J♦ 7♦,5♠ Q♥ 2♠ 7♠ 3♣,999.8000000000002,1000.2000000000003,1179.8000000000002,820.2000000000003
81,Main Agent,60.0,One Pair,J♥ 10♦,2♦ J♣,3♥ J♦ 5♠ 9♦ K♣,1179.8000000000002,820.2000000000003,1209.8000000000002,790.2000000000003
82,Fish,15.0,opponent folded,9♠ 2♦,J♠ Q♣,,1209.8000000000002,790.2000000000003,1204.8000000000002,795.2000000000003
83,Main Agent,20.0,One Pair,Q♣ 9♥,6♥ 9♣,A♦ 4♣ 7♠ 4♦ 10♣,1204.8000000000002,795.2000000000003,1214.8000000000002,785.2000000000003
84,Main Agent,120.0,Two Pair,K♦ J♦,J♥ Q♣,5♥ 7♣ 7♠ 3♠ 5♠,1214.8000000000002,785.2000000000003,1274.8000000000002,725.2000000000003
85,Main Agent,20.0,One Pair,5♣ Q♥,J♦ 4♣,10♣ 7♥ 8♥ 8♠ 6♠,1274.8000000000002,725.2000000000003,1284.8000000000002,715.2000000000003
86,Main Agent,2000.0000000000005,Boat,8♦ 8♥,Q♠ 5♣,K♠ 7♥ 8♠ 10♠ 10♣,1284.8000000000002,715.2000000000003,2000.0000000000005,0.0
87,Main Agent,10.0,One Pair,8♣ K♠,Q♣ 7♠,10♥ 3♣ K♣ A♣ 2♠,2000.0000000000005,0.0,2000.0000000000005,0.0
88,Main Agent,5.0,High Card,4♠ 8♥,7♥ 5♦,9♦ A♦ 10♣ 3♦ 6♣,2000.0000000000005,0.0,2000.0000000000005,0.0
89,Fish,10.0,One Pair,2♥ 7♣,6♣ 3♣,8♥ 2♦ 5♣ K♣ 6♥,2000.0000000000005,0.0,1990.0000000000005,10.0
90,Main Agent,15.0,Boat,Q♣ 8♦,6♠ 9♣,8♠ 5♥ 4♣ 5♦ 8♣,1990.0000000000005,10.0,2000.0000000000005,0.0
91,Main Agent,10.0,High Card,9♠ 10♠,7♣ 9♣,Q♠ 8♠ 2♦ 6♦ 4♦,2000.0000000000005,0.0,2000.0000000000005,0.0
92,Fish,5.0,One Pair,8♦ 6♦,7♦ Q♠,Q♣ 9♥ 4♥ 6♥ A♣,2000.0000000000005,0.0,1995.0000000000005,5.0
93,Main Agent,15.0,One Pair,3♥ 5♦,10♥ J♦,A♦ 6♦ 5♣ 4♦ 8♠,1995.0000000000005,5.0,2000.0000000000005,0.0
94,Main Agent,5.0,One Pair,5♣ K♦,8♦ 10♠,2♠ 9♦ 5♠ 3♦ 6♦,2000.0000000000005,0.0,2000.0000000000005,0.0
95,Fish,10.0,One Pair,8♣ 9♠,J♣ J♥,6♦ K♦ Q♦ 2♦ 7♥,2000.0000000000005,0.0,1990.0000000000005,10.0
96,Main Agent,15.0,Boat,2♦ K♣,6♣ 9♥,5♠ 2♠ 5♥ 2♣ 3♥,1990.0000000000005,10.0,2000.0000000000005,0.0
97,Fish,10.0,High Card,9♦ 3♥,K♠ A♣,8♦ Q♠ 2♦ 6♣ 7♠,2000.0000000000005,0.0,1990.0000000000005,10.0
98,Main Agent,15.0,One Pair,7♥ 4♣,A♠ 9♥,7♠ 8♠ Q♠ 6♣ 3♣,1990.0000000000005,10.0,2000.0000000000005,0.0
99,Main Agent,10.0,One Pair,J♣ 10♣,K♦ 4♠,6♠ J♥ 8♦ 7♥ A♦,2000.0000000000005,0.0,2000.0000000000005,0.0
100,Main Agent,5.0,Two Pair,Q♠ K♠,3♥ 2♣,A♠ 9♠ K♣ Q♦ J♦,2000.0000000000005,0.0,2000.0000000000005,0.0
